txId,userId,accountType,currency,valueCents,type,isRecurring,balanceAfterCents,bookedAt,merchant,description,category
2c2fe29f-970b-4e71-85a3-429403b175c7,cf62dab1-0a8f-484a-b45b-ddee473d9bbe,CUENTA_VISTA,CLP,-11901,debit,false,,2025-05-21T12:59:00.000Z,DOMINO'S,Restaurantes · DOMINO'S,Restaurantes
54757b20-0f90-495a-b77c-a1ec44d38b30,cf62dab1-0a8f-484a-b45b-ddee473d9bbe,CUENTA_VISTA,CLP,-20377,debit,false,,2025-05-21T22:30:00.000Z,KFC,Restaurantes · KFC,Restaurantes
37f9ca55-339d-4d6b-beaa-40cd85912d6a,cf62dab1-0a8f-484a-b45b-ddee473d9bbe,CUENTA_VISTA,CLP,-15343,debit,false,,2025-05-22T19:03:00.000Z,CINEMARK,Entretenimiento · CINEMARK,Entretenimiento
bf3d5a7c-3dae-4f0c-95ba-f5a0e47c5ea8,cf62dab1-0a8f-484a-b45b-ddee473d9bbe,CUENTA_VISTA,CLP,-4741,debit,false,,2025-05-23T17:22:00.000Z,TOTTUS,Alimentación · TOTTUS,Alimentación
5c4e80a5-ba63-490e-8221-bdc5cf40df7f,cf62dab1-0a8f-484a-b45b-ddee473d9bbe,CUENTA_VISTA,CLP,-8143,debit,false,,2025-05-24T02:20:00.000Z,CONSULTA MÉDICA,Salud · CONSULTA MÉDICA,Salud
30b7cdc7-b547-4d39-9624-1fd50c0b5c4d,cf62dab1-0a8f-484a-b45b-ddee473d9bbe,CUENTA_VISTA,CLP,-14656,debit,false,,2025-05-25T20:22:00.000Z,KFC,Restaurantes · KFC,Restaurantes
16bbfe70-b9c8-401f-bd4d-e75d7d2b715d,cf62dab1-0a8f-484a-b45b-ddee473d9bbe,CUENTA_VISTA,CLP,-958,debit,false,,2025-05-26T19:37:00.000Z,RED METRO,Transporte · RED METRO,Transporte
89bbe20d-1698-41b3-95c8-23eea4b02379,cf62dab1-0a8f-484a-b45b-ddee473d9bbe,CUENTA_VISTA,CLP,-24020,debit,false,,2025-05-26T23:56:00.000Z,CAFETERÍA,Restaurantes · CAFETERÍA,Restaurantes
2e4e4ad0-2c7b-4d2a-8c7e-9f99f6825508,cf62dab1-0a8f-484a-b45b-ddee473d9bbe,CUENTA_VISTA,CLP,-1024,debit,false,,2025-05-28T18:59:00.000Z,PETROBRAS,Transporte · PETROBRAS,Transporte
96b06aba-50d5-4956-8424-2637eeb02db0,cf62dab1-0a8f-484a-b45b-ddee473d9bbe,CUENTA_VISTA,CLP,-50957,debit,false,,2025-05-29T23:15:00.000Z,VTR,Servicios · VTR,Servicios
8b8bb245-3634-4ad2-b389-c80f47930b9c,cf62dab1-0a8f-484a-b45b-ddee473d9bbe,CUENTA_VISTA,CLP,-9628,debit,false,,2025-05-30T15:30:00.000Z,CINEMARK,Entretenimiento · CINEMARK,Entretenimiento
